Time,INPUT PID,OUTPUT PID,ERROR,ERROR INTEGRAL,ERROR DERIVATIVO
0,12.000000,100.000000,0.000000,0.000000,0.000000
1,11.800000,100.000000,-1.800000,-1.800000,0.140000
2,11.603333,100.000000,-1.603333,-3.403334,0.179667
3,11.409945,92.330505,-1.409945,-4.813278,0.189272
4,11.245344,85.117874,-1.245344,-6.058622,0.172002
5,11.107529,79.303314,-1.107529,-7.166151,0.148071
6,10.991392,74.541443,-0.991392,-8.157543,0.125717
7,10.893064,70.619644,-0.893064,-9.050608,0.106544
8,10.809448,67.382057,-0.809448,-9.860056,0.090495
9,10.738017,64.705673,-0.738017,-10.598073,0.077150
10,10.676698,62.490719,-0.676698,-11.274771,0.066069
11,10.623784,60.655552,-0.623784,-11.898555,0.056860
12,10.577869,59.133034,-0.577869,-12.476424,0.049198
13,10.537795,57.868027,-0.537795,-13.014219,0.042812
14,10.502605,56.815212,-0.502605,-13.516825,0.037476
15,10.471511,55.937237,-0.471511,-13.988336,0.033009
16,10.443862,55.203545,-0.443862,-14.432198,0.029257
17,10.419119,54.588795,-0.419119,-14.851316,0.026097
18,10.396837,54.072277,-0.396837,-15.248154,0.023426
19,10.376649,53.636944,-0.376649,-15.624803,0.021160
20,10.358249,53.268745,-0.358249,-15.983051,0.019228
21,10.341382,52.956036,-0.341382,-16.324432,0.017575
22,10.325839,52.689362,-0.325839,-16.650272,0.016153
23,10.311444,52.460869,-0.311444,-16.961716,0.014922
24,10.298051,52.264065,-0.298051,-17.259766,0.013852
25,10.285537,52.093658,-0.285537,-17.545303,0.012915
26,10.273799,51.945232,-0.273799,-17.819103,0.012091
27,10.262752,51.815201,-0.262752,-18.081856,0.011360
28,10.252321,51.700535,-0.252321,-18.334177,0.010709
29,10.242448,51.598881,-0.242448,-18.576626,0.010124
30,10.233077,51.508064,-0.233077,-18.809704,0.009597
31,10.224166,51.426529,-0.224166,-19.033871,0.009117
32,10.215674,51.352764,-0.215674,-19.249546,0.008679
33,10.207571,51.285736,-0.207571,-19.457117,0.008276
34,10.199825,51.224354,-0.199825,-19.656942,0.007905
35,10.192413,51.167912,-0.192413,-19.849356,0.007560
36,10.185313,51.115749,-0.185313,-20.034668,0.007238
37,10.178506,51.067333,-0.178506,-20.213173,0.006937
38,10.171973,51.022148,-0.171973,-20.385147,0.006654
39,10.165700,50.979816,-0.165700,-20.550846,0.006387
40,10.159672,50.939983,-0.159672,-20.710518,0.006136
41,10.153877,50.902454,-0.153877,-20.864395,0.005897
42,10.148304,50.866932,-0.148304,-21.012699,0.005670
43,10.142942,50.833286,-0.142942,-21.155642,0.005454
44,10.137782,50.801285,-0.137782,-21.293423,0.005248
45,10.132814,50.770821,-0.132814,-21.426237,0.005052
46,10.128032,50.741806,-0.128032,-21.554268,0.004863
47,10.123425,50.714081,-0.123425,-21.677692,0.004683
48,10.118988,50.687531,-0.118988,-21.796680,0.004511
49,10.114713,50.662086,-0.114713,-21.911392,0.004346
50,10.110594,50.637730,-0.110594,-22.021986,0.004187
51,10.106625,50.614353,-0.106625,-22.128611,0.004035
52,10.102799,50.591908,-0.102799,-22.231411,0.003888
53,10.099113,50.570393,-0.099113,-22.330524,0.003747
54,10.095560,50.549660,-0.095560,-22.426085,0.003611
55,10.092135,50.529758,-0.092135,-22.518219,0.003481
56,10.088834,50.510578,-0.088834,-22.607052,0.003355
57,10.085651,50.492149,-0.085651,-22.692703,0.003234
58,10.082583,50.474403,-0.082583,-22.775288,0.003118
59,10.079626,50.457336,-0.079626,-22.854914,0.003006
60,10.076775,50.440876,-0.076775,-22.931688,0.002898
61,10.074025,50.424999,-0.074025,-23.005714,0.002794
62,10.071375,50.409740,-0.071375,-23.077089,0.002693
63,10.068819,50.394989,-0.068819,-23.145908,0.002597
64,10.066356,50.380836,-0.066356,-23.212265,0.002503
65,10.063980,50.367157,-0.063980,-23.276245,0.002414
66,10.061690,50.354023,-0.061690,-23.337936,0.002327
67,10.059482,50.341293,-0.059482,-23.397419,0.002244
68,10.057353,50.329094,-0.057353,-23.454773,0.002163
69,10.055300,50.317268,-0.055300,-23.510073,0.002086
70,10.053321,50.305927,-0.053321,-23.563393,0.002011
71,10.051413,50.294975,-0.051413,-23.614805,0.001939
72,10.049572,50.284370,-0.049572,-23.664377,0.001870
73,10.047798,50.274212,-0.047798,-23.712175,0.001803
